input_shape_1,input_shape_2,input_shape_3,input_shape_4,bfloat8,bfloat16,INPUTBUFFER0,INPUTBUFFER1,kernel_duration
1312,1888,0,0,1,0,0,1,70586
448,1984,0,0,0,1,1,0,28128
448,1984,0,0,0,1,1,0,28077
448,1984,0,0,0,1,1,0,27603
448,1984,0,0,0,1,1,0,27598
448,1984,0,0,0,1,0,1,27608
448,1984,0,0,0,1,0,1,27509
448,1984,0,0,0,1,0,1,27342
448,1984,0,0,0,1,0,1,27334
448,1984,0,0,1,0,1,0,27317
448,1984,0,0,1,0,1,0,27294
448,1984,0,0,1,0,1,0,27018
448,1984,0,0,1,0,1,0,27039
448,1984,0,0,1,0,0,1,27009
448,1984,0,0,1,0,0,1,27092
448,1984,0,0,1,0,0,1,26885
448,1984,0,0,1,0,0,1,26869
1152,992,0,0,0,1,1,0,35969
1152,992,0,0,0,1,1,0,35942
1152,992,0,0,0,1,1,0,35830
1152,992,0,0,0,1,1,0,35797
1152,992,0,0,0,1,0,1,35284
1152,992,0,0,0,1,0,1,35564
1152,992,0,0,0,1,0,1,34750
1152,992,0,0,0,1,0,1,34530
1152,992,0,0,1,0,1,0,34880
1152,992,0,0,1,0,1,0,34901
1152,992,0,0,1,0,1,0,34777
1152,992,0,0,1,0,1,0,34639
1152,992,0,0,1,0,0,1,34421
1152,992,0,0,1,0,0,1,34625
1152,992,0,0,1,0,0,1,34123
1152,992,0,0,1,0,0,1,34135
928,1792,0,0,0,1,1,0,49963
928,1792,0,0,0,1,1,0,49918
928,1792,0,0,0,1,1,0,49470
928,1792,0,0,0,1,1,0,49584
928,1792,0,0,0,1,0,1,49526
928,1792,0,0,0,1,0,1,49490
928,1792,0,0,0,1,0,1,49316
928,1792,0,0,0,1,0,1,49328
928,1792,0,0,1,0,1,0,49077
928,1792,0,0,1,0,1,0,49156
928,1792,0,0,1,0,1,0,48901
928,1792,0,0,1,0,1,0,48920
928,1792,0,0,1,0,0,1,48984
928,1792,0,0,1,0,0,1,48999
928,1792,0,0,1,0,0,1,48781
928,1792,0,0,1,0,0,1,48820
1088,544,0,0,0,1,1,0,20359
1088,544,0,0,0,1,1,0,20403
1088,544,0,0,0,1,1,0,20248
1088,544,0,0,0,1,1,0,20390
1088,544,0,0,0,1,0,1,20175
1088,544,0,0,0,1,0,1,20138
1088,544,0,0,0,1,0,1,19957
1088,544,0,0,0,1,0,1,20129
1088,544,0,0,1,0,1,0,19972
1088,544,0,0,1,0,1,0,19792
1088,544,0,0,1,0,1,0,19804
1088,544,0,0,1,0,1,0,19745
1088,544,0,0,1,0,0,1,19802
1088,544,0,0,1,0,0,1,19782
1088,544,0,0,1,0,0,1,19578
1088,544,0,0,1,0,0,1,19623
128,1664,0,0,0,1,1,0,10515
128,1664,0,0,0,1,1,0,10413
128,1664,0,0,0,1,1,0,10169
128,1664,0,0,0,1,1,0,10201
128,1664,0,0,0,1,0,1,9515
128,1664,0,0,0,1,0,1,9589
128,1664,0,0,0,1,0,1,9439
128,1664,0,0,0,1,0,1,9320
128,1664,0,0,1,0,1,0,9510
128,1664,0,0,1,0,1,0,9410
128,1664,0,0,1,0,1,0,9315
128,1664,0,0,1,0,1,0,9162
128,1664,0,0,1,0,0,1,9042
128,1664,0,0,1,0,0,1,9111
128,1664,0,0,1,0,0,1,8803
128,1664,0,0,1,0,0,1,8805
1888,1152,0,0,0,1,1,0,64756
1888,1152,0,0,0,1,1,0,64616
1888,1152,0,0,0,1,1,0,64512
1888,1152,0,0,0,1,1,0,64217
1888,1152,0,0,0,1,0,1,63960
1888,1152,0,0,0,1,0,1,64063
1888,1152,0,0,0,1,0,1,63816
1888,1152,0,0,0,1,0,1,63758
1888,1152,0,0,1,0,1,0,63633
1888,1152,0,0,1,0,1,0,63767
1888,1152,0,0,1,0,1,0,63414
1888,1152,0,0,1,0,1,0,63437
1888,1152,0,0,1,0,0,1,63446
1888,1152,0,0,1,0,0,1,63517
1888,1152,0,0,1,0,0,1,63359
